Company,TypeName,OpSys,Width,Heigth,IsTouchscreen,CpuProducer,CpuSpeed (GHz),HDD,Hybrid,SSD,Flash Storage,GpuProducer,Ram (GB),Weight (kg),Price_euros
Asus,Notebook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,Nvidia,8,1.7,1118.0
Acer,Notebook,Windows 10,1920,1080,Yes,Intel,2.4,1024,0,0,0,Intel,6,2.1,479.0
MSI,Gaming,Windows 10,1920,1080,No,Intel,2.8,2048,0,256,0,Nvidia,16,1.8,2241.5
Lenovo,Notebook,No OS,1920,1080,No,Intel,2.5,0,0,256,0,Nvidia,8,2.2,629.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.8,0,0,512,0,Nvidia,16,2.5,1271.0
Acer,Notebook,Windows 10,1366,768,No,AMD,3.0,0,0,256,0,AMD,4,2.1,451.0
HP,Notebook,No OS,1366,768,No,Intel,1.6,500,0,0,0,Intel,4,1.86,259.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.6,1024,0,0,0,Intel,8,1.63,812.0
Asus,Notebook,Other,1366,768,No,AMD,1.5,0,0,64,0,AMD,4,1.65,277.99
Dell,Notebook,Windows 10,1920,1080,No,Intel,1.8,2048,0,256,0,AMD,16,2.8,1396.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Intel,8,2.5,928.0
Dell,Notebook,Windows 10,1366,768,No,Intel,2.5,1024,0,0,0,AMD,8,2.36,638.99
Dell,Notebook,Windows 10,1920,1080,No,Intel,2.0,1024,0,0,0,AMD,4,2.2,449.0
Acer,Ultrabook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,Intel,8,1.6,884.0
Acer,Notebook,Windows 10,1920,1080,No,Intel,2.7,0,0,256,0,Nvidia,4,2.2,572.0
HP,Notebook,Windows 10,1366,768,No,Intel,2.7,1024,0,0,0,Intel,8,2.05,598.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,Intel,8,1.63,988.0
Lenovo,Notebook,No OS,1366,768,No,Intel,1.1,1024,0,0,0,Intel,4,1.9,252.36
Asus,Gaming,Windows 10,1920,1080,No,Intel,2.5,1024,0,128,0,Nvidia,8,3.0,938.0
Lenovo,Notebook,No OS,1920,1080,No,Intel,2.5,1024,0,0,0,Nvidia,4,2.2,499.0
HP,Notebook,Windows 10,1920,1080,No,Intel,2.5,0,0,256,0,Intel,4,1.32,699.0
Acer,Notebook,Windows 10,1920,1080,No,Intel,2.7,1024,0,0,0,Nvidia,4,3.0,655.0
Lenovo,Notebook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,AMD,8,1.75,1116.02
Lenovo,Gaming,No OS,1920,1080,No,Intel,2.8,0,0,256,0,Nvidia,8,2.4,869.0
Toshiba,Notebook,Windows 10,1366,768,No,Intel,2.3,500,0,0,0,Intel,4,2.1,602.0
HP,Notebook,Windows 10,1366,768,No,AMD,2.5,0,0,256,0,AMD,4,1.86,369.0
Asus,Ultrabook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,Intel,8,1.25,1099.0
HP,Ultrabook,Windows 10,3840,2160,Yes,Intel,1.2,0,0,512,0,Intel,8,0.97,2014.0
Asus,Notebook,Windows 10,1920,1080,No,Intel,1.1,1024,0,0,0,Intel,4,2.0,344.0
MSI,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,256,0,Nvidia,16,2.9,2029.0
Acer,Notebook,Windows 10,1366,768,No,Intel,2.0,1024,0,0,0,Intel,4,2.1,447.0
Dell,Gaming,Windows 10,1920,1080,No,Intel,2.8,0,0,512,0,Nvidia,16,2.56,1249.26
Dell,Gaming,Windows 10,1920,1080,No,Intel,2.8,0,1024,0,0,Nvidia,8,2.62,899.0
Lenovo,Notebook,Windows 10,1366,768,No,Intel,2.5,0,0,128,0,Intel,4,1.9,498.0
MSI,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,256,0,Nvidia,16,2.8,1890.0
HP,Ultrabook,Windows 10,1920,1080,No,Intel,2.7,0,0,256,0,Intel,4,1.48,1082.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,AMD,6,1.91,619.0
Lenovo,2 in 1 Convertible,Windows 10,1920,1080,Yes,Intel,2.4,0,0,256,0,Intel,4,1.74,629.0
Asus,2 in 1 Convertible,Windows 10,1920,1080,Yes,Intel,1.6,0,0,256,0,Intel,8,1.1,1315.0
Dell,2 in 1 Convertible,Windows 10,1920,1080,Yes,Intel,1.8,0,0,256,0,Intel,8,1.56,1049.0
Toshiba,Notebook,Windows 10,1366,768,No,Intel,2.2,500,0,0,0,Intel,4,2.1,447.0
Asus,Notebook,Windows 10,1366,768,No,AMD,3.0,1024,0,0,0,AMD,4,2.03,403.0
Acer,Notebook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Nvidia,4,3.0,805.0
Dell,Notebook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,AMD,8,2.13,728.0
Lenovo,Gaming,Windows 10,1920,1080,No,Intel,2.8,0,0,256,0,Nvidia,16,2.5,1079.0
Acer,Notebook,Windows 10,1366,768,No,Intel,1.1,1024,0,0,0,Intel,4,2.1,348.0
MSI,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,256,0,Nvidia,16,2.4,1799.0
Acer,Notebook,Windows 10,1366,768,No,Intel,1.1,1024,0,0,0,Intel,4,2.1,363.51
Dell,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,128,0,Nvidia,8,2.56,1060.49
Acer,Notebook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Nvidia,8,3.0,854.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.6,500,0,0,0,Intel,4,1.49,754.0
Other,Ultrabook,Windows 10,2160,1440,No,Intel,2.5,0,0,256,0,Intel,8,1.05,1349.0
HP,Notebook,Windows 10,1920,1080,No,Intel,2.5,2048,0,0,0,AMD,6,2.71,699.0
Lenovo,Notebook,No OS,1366,768,No,AMD,2.9,500,0,0,0,AMD,4,2.2,309.0
Toshiba,Notebook,Windows 10,1366,768,No,Intel,2.4,500,0,0,0,Intel,4,2.0,489.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Nvidia,8,2.5,923.0
Dell,Notebook,Windows 10,1366,768,No,Intel,2.4,1024,0,0,0,Intel,8,2.3,459.0
Acer,Notebook,Windows 10,1366,768,No,Intel,2.0,0,0,128,0,Intel,4,2.1,449.0
MSI,Gaming,Windows 10,1920,1080,No,Intel,2.9,1024,0,512,0,Nvidia,32,4.4,2799.0
Lenovo,Notebook,Windows 10,1920,1080,No,Intel,2.5,1024,0,128,0,AMD,8,1.9,813.0
HP,2 in 1 Convertible,Windows 10,3840,2160,Yes,Intel,1.6,0,0,256,0,Intel,8,1.29,1499.0
Dell,Notebook,Linux,1920,1080,No,Intel,1.8,2048,0,256,0,AMD,16,2.02,1049.0
Dell,Ultrabook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Intel,8,1.23,1399.0
Lenovo,2 in 1 Convertible,Windows 10,3840,2160,Yes,Intel,1.8,0,0,512,0,Intel,16,1.4,1849.0
Toshiba,Notebook,Windows 10,1366,768,No,Intel,2.5,0,0,128,0,Intel,8,2.0,793.0
Other,Notebook,No OS,1920,1080,No,Intel,1.6,0,0,256,0,Nvidia,8,1.95,1199.0
Dell,Notebook,Windows 10,1920,1080,Yes,Intel,1.8,0,0,512,0,Nvidia,16,2.77,1549.0
Dell,Notebook,Windows 10,3840,2160,Yes,Intel,2.8,0,0,512,0,Nvidia,16,2.06,2397.0
Lenovo,Gaming,No OS,1920,1080,No,Intel,2.5,0,0,256,0,Nvidia,8,2.4,779.0
Acer,Ultrabook,Windows 10,1920,1080,No,Intel,1.2,0,0,256,0,Intel,8,1.12,989.0
Dell,Notebook,Windows 10,1920,1080,No,Intel,1.8,1024,0,128,0,AMD,8,2.8,1085.0
Lenovo,2 in 1 Convertible,Windows 10,2560,1440,Yes,Intel,2.7,0,0,1024,0,Intel,16,1.42,2824.0
Other,Notebook,Windows 10,1920,1080,No,Intel,1.1,0,0,0,32,Intel,4,1.3,260.0
Other,Ultrabook,No OS,1920,1080,No,Intel,2.5,0,0,256,0,Nvidia,8,1.3,999.9
Lenovo,Notebook,No OS,1600,900,No,Intel,1.6,0,0,256,0,Nvidia,8,2.8,698.0
Dell,2 in 1 Convertible,Windows 10,1920,1080,Yes,Intel,1.8,1024,0,0,0,Intel,8,1.62,839.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.6,1024,0,0,0,Nvidia,8,2.5,914.0
Other,Gaming,Windows 10,3840,2160,Yes,Intel,2.9,0,0,1024,0,Nvidia,32,3.49,6099.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.6,0,0,512,0,Intel,8,1.49,959.0
HP,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,256,0,Nvidia,16,3.35,1379.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,Nvidia,8,2.5,1045.0
Dell,Gaming,Windows 10,3840,2160,No,Intel,2.8,1024,0,512,0,Nvidia,16,2.65,1845.0
Lenovo,Notebook,Windows 10,1366,768,No,Intel,2.3,0,0,128,0,Intel,4,2.1,493.0
Acer,Notebook,Windows 10,1920,1080,No,Intel,2.7,1024,0,0,0,Nvidia,8,2.23,742.0
Lenovo,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,512,0,Nvidia,16,3.2,1749.0
Dell,Workstation,Windows 10,3840,2160,No,Intel,3.0,1024,0,256,0,Nvidia,16,2.8,3055.0
Lenovo,Gaming,No OS,1920,1080,No,Intel,2.8,0,0,512,0,Nvidia,16,2.4,1398.0
Dell,Notebook,Windows 10,1366,768,Yes,Intel,2.4,1024,0,0,0,Intel,6,2.3,439.0
Dell,Ultrabook,Windows 10,3840,2160,Yes,Intel,1.8,0,0,256,0,Intel,8,1.21,1949.0
Dell,Ultrabook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,Intel,8,1.2,1449.0
Lenovo,Notebook,Windows 10,1366,768,No,Intel,2.5,0,0,256,0,Intel,8,2.2,597.0
Acer,Notebook,Linux,1920,1080,No,Intel,2.8,1024,0,0,0,Nvidia,8,2.4,779.0
Asus,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,256,0,Nvidia,16,2.9,1407.0
HP,Notebook,No OS,1920,1080,No,Intel,2.0,500,0,0,0,Intel,4,2.1,349.0
Lenovo,Notebook,No OS,1920,1080,No,Intel,2.5,0,0,256,0,Intel,8,2.2,549.0
Other,Ultrabook,Windows 10,2160,1440,No,Intel,2.7,0,0,512,0,Intel,8,1.05,1499.0
Dell,Ultrabook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,AMD,8,1.4,931.88
Lenovo,Notebook,No OS,1600,900,No,Intel,2.5,1024,0,0,0,Nvidia,8,2.8,589.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,Nvidia,8,1.63,1031.0
Dell,Ultrabook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Intel,8,1.6,1149.0
Dell,2 in 1 Convertible,Windows 10,1920,1080,Yes,Intel,1.8,0,0,512,0,Intel,16,1.62,1279.0
Dell,Notebook,Linux,1920,1080,No,Intel,1.6,0,0,256,0,AMD,8,2.2,677.35
Lenovo,2 in 1 Convertible,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Intel,8,1.74,899.0
Toshiba,Ultrabook,Windows 10,1920,1080,No,Intel,2.5,0,0,256,0,Intel,8,1.2,1363.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.6,1024,0,0,0,Intel,8,2.1,794.0
Dell,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,256,0,Nvidia,16,4.42,2456.34
Acer,Notebook,Windows 10,1920,1080,No,Intel,2.7,0,0,256,0,Nvidia,8,2.2,832.0
Dell,Notebook,Windows 10,1920,1080,Yes,Intel,2.7,1024,0,0,0,AMD,16,2.3,859.01
Asus,Notebook,Windows 10,1920,1080,No,Intel,2.5,0,0,256,0,Nvidia,8,2.0,769.0
Asus,Notebook,Windows 10,1920,1080,No,Intel,2.5,500,0,256,0,Nvidia,8,2.69,891.0
HP,Notebook,Windows 10,1920,1080,No,Intel,2.7,1024,0,0,0,AMD,8,1.9,1269.0
Asus,Notebook,Windows 10,1366,768,No,Intel,2.4,1024,0,0,0,Intel,4,2.37,398.99
HP,Notebook,Windows 10,1366,768,No,AMD,1.5,500,0,0,0,AMD,4,2.1,330.0
Lenovo,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,256,0,Nvidia,16,3.2,1499.0
Dell,Notebook,Windows 10,1920,1080,No,Intel,2.5,0,0,256,0,Intel,8,1.6,859.0
Acer,2 in 1 Convertible,Windows 10,1920,1080,Yes,Intel,2.3,0,0,256,0,Intel,8,1.6,689.0
Dell,Notebook,Linux,1920,1080,No,Intel,2.7,0,0,256,0,AMD,16,2.36,899.0
Acer,Notebook,Linux,1366,768,No,Intel,2.0,1024,0,0,0,Intel,4,2.1,390.0
Asus,Notebook,Windows 10,1920,1080,No,AMD,2.5,1024,0,128,0,AMD,4,2.2,575.0
Asus,Gaming,Windows 10,1920,1080,No,Intel,2.9,1024,0,512,0,Nvidia,32,4.7,3890.0
Acer,Gaming,Windows 10,1920,1080,No,Intel,2.5,0,0,256,0,Nvidia,8,2.5,846.0
Lenovo,Notebook,Windows 10,1366,768,No,Intel,2.0,0,0,128,0,Intel,8,2.2,589.0
Asus,Notebook,Windows 10,1920,1080,No,Intel,1.8,1024,0,128,0,Nvidia,8,2.1,1145.0
Asus,Notebook,No OS,1920,1080,No,Intel,2.7,1024,0,128,0,Nvidia,8,2.69,889.0
Dell,Gaming,Windows 10,1920,1080,No,Intel,2.5,0,0,256,0,Nvidia,8,2.56,879.0
Lenovo,2 in 1 Convertible,Windows 10,1920,1080,Yes,Intel,2.7,0,0,256,0,Intel,8,1.38,1079.0
Dell,Notebook,Windows 10,1920,1080,No,Intel,1.8,2048,0,128,0,AMD,8,2.2,985.0
HP,Notebook,Windows 10,1366,768,Yes,Intel,2.5,1024,0,0,0,Intel,8,2.04,559.0
Asus,Gaming,Windows 10,1920,1080,No,Intel,2.9,0,0,256,0,Nvidia,16,3.6,2999.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.6,500,0,0,0,Intel,4,1.49,675.0
Apple,Ultrabook,macOS,2560,1600,No,Intel,3.1,0,0,512,0,Intel,8,1.37,2040.0
Dell,2 in 1 Convertible,Windows 10,1920,1080,Yes,Intel,1.8,1024,0,0,0,Intel,8,2.08,819.0
