Company,TypeName,Ram (GB),OpSys,Weight (kg),Width,Heigth,IsTouchscreen,CpuProducer,CpuSpeed (GHz),MemoryType,CombinedMemoryCapacity (GB),GpuProducer,Price_euros
Asus,Notebook,8,Linux,2.3,1366,768,No,Intel,2.5,HDD,1024,Nvidia,522.99
Acer,Notebook,4,Windows 10,2.2,1920,1080,No,Intel,1.6,SSD,256,Intel,682.0
Dell,2 in 1 Convertible,12,Windows 10,2.77,1920,1080,Yes,Intel,1.6,HDD,1024,Nvidia,999.0
Apple,Ultrabook,8,macOS,1.37,2560,1600,No,Intel,2.0,SSD,256,Intel,1419.0
Lenovo,Notebook,4,No OS,2.2,1366,768,No,Intel,2.0,SSD,128,Intel,369.0
Asus,Gaming,8,Windows 10,3.2,1920,1080,No,AMD,3.0,"SSD, HDD",1280,AMD,1299.0
Dell,Notebook,4,Windows 10,2.3,1920,1080,No,Intel,2.5,SSD,256,AMD,639.0
Asus,Notebook,4,Windows 10,2.8,1366,768,No,Intel,1.1,HDD,1024,Nvidia,466.0
Lenovo,2 in 1 Convertible,4,Android,0.69,1920,1200,Yes,Intel,1.44,Flash Storage,64,Intel,319.0
Acer,Notebook,8,Windows 10,2.2,1920,1080,No,Intel,1.8,SSD,256,Nvidia,841.0
HP,Notebook,4,Windows 10,1.86,1920,1080,No,AMD,2.5,SSD,256,AMD,398.49
HP,Notebook,8,Windows 10,1.49,1920,1080,No,Intel,1.8,SSD,512,Intel,1103.0
Acer,Notebook,4,Windows 10,2.4,1366,768,No,Intel,2.4,HDD,1024,Intel,384.0
Dell,Notebook,8,Windows 10,2.13,1920,1080,No,Intel,1.8,SSD,256,AMD,767.8
HP,Notebook,4,Windows 10,1.91,1920,1080,No,Intel,2.0,SSD,128,Intel,439.0
Asus,Notebook,4,Windows 10,2.0,1366,768,No,Intel,2.5,SSD,256,Intel,586.19
MSI,Gaming,16,Windows 10,2.43,1920,1080,No,Intel,2.8,"SSD, HDD",2304,Nvidia,2449.0
Asus,Notebook,4,Linux,2.0,1920,1080,No,Intel,2.0,SSD,256,Intel,415.0
Dell,Notebook,16,Windows 10,2.8,1920,1080,No,Intel,1.8,"SSD, HDD",2304,AMD,1299.0
Dell,Ultrabook,8,Windows 10,1.7,1920,1080,No,Intel,1.6,SSD,256,Intel,879.0
Lenovo,Notebook,8,No OS,1.7,1920,1080,No,Intel,2.7,SSD,256,Intel,599.0
Asus,Notebook,8,Windows 10,1.4,1920,1080,No,Intel,1.6,SSD,256,Intel,941.0
HP,Notebook,8,Windows 10,1.86,1920,1080,No,Intel,2.5,SSD,256,Intel,690.0
Asus,Ultrabook,16,Windows 10,1.8,1920,1080,No,Intel,2.8,SSD,512,Nvidia,1983.0
HP,Notebook,4,Windows 10,1.86,1366,768,No,Intel,2.0,HDD,500,AMD,438.69
HP,Notebook,4,Windows 10,1.44,1366,768,No,Intel,1.6,SSD,32,Intel,229.0
Lenovo,Notebook,4,Windows 10,1.9,1920,1080,No,Intel,2.5,HDD,1024,Intel,549.0
Asus,Gaming,12,Linux,3.0,1920,1080,No,Intel,2.8,HDD,1024,Nvidia,949.0
Microsoft,Ultrabook,4,Windows 10 S,1.252,2256,1504,Yes,Intel,2.5,SSD,128,Intel,1089.0
Dell,Ultrabook,8,Windows 10,1.4,1920,1080,No,Intel,1.8,SSD,256,AMD,955.0
Dell,Notebook,8,Windows 10,2.2,1920,1080,No,Intel,1.8,SSD,256,AMD,870.0
MSI,Gaming,8,Windows 10,2.7,1920,1080,No,Intel,2.5,"SSD, HDD",1152,Nvidia,1095.0
Acer,Notebook,8,Windows 10,2.1,1366,768,No,Intel,2.0,HDD,1024,Intel,389.0
Asus,Gaming,8,Windows 10,2.2,1920,1080,No,Intel,2.8,HDD,1024,Nvidia,949.0
Lenovo,Notebook,8,No OS,2.2,1920,1080,No,Intel,2.5,HDD,2048,Intel,519.0
Dell,Notebook,8,Windows 10,2.02,1920,1080,No,Intel,1.8,"SSD, HDD",1152,Intel,855.0
Acer,Notebook,4,Windows 10,2.2,1920,1080,No,Intel,2.7,HDD,1024,Nvidia,530.0
HP,Notebook,8,Windows 10,2.5,1920,1080,No,Intel,1.6,"SSD, HDD",1152,Nvidia,977.0
Dell,Ultrabook,8,Windows 10,1.88,1920,1080,No,Intel,1.6,SSD,256,Intel,1096.16
Apple,Ultrabook,8,macOS,0.92,2304,1440,No,Intel,1.3,SSD,512,Intel,1510.0
HP,Notebook,8,Windows 10,1.63,1920,1080,No,Intel,1.6,SSD,256,Intel,860.0
Lenovo,Notebook,4,Windows 10,2.2,1920,1080,No,AMD,2.5,SSD,128,AMD,399.0
Acer,Notebook,4,Windows 10,2.1,1366,768,No,AMD,3.0,HDD,1024,AMD,395.0
Dell,Gaming,16,Windows 10,2.65,1920,1080,No,Intel,2.8,"SSD, HDD",1152,Nvidia,1349.0
HP,Ultrabook,8,Windows 10,1.83,1920,1080,No,Intel,1.8,SSD,256,Nvidia,699.0
HP,Notebook,8,Windows 10,1.96,1920,1080,No,Intel,2.5,SSD,256,Intel,598.99
Asus,Gaming,16,Windows 10,2.2,1920,1080,No,Intel,2.8,"SSD, HDD",1152,Nvidia,1449.0
Dell,Ultrabook,8,Windows 10,1.21,1920,1080,No,Intel,1.8,SSD,256,Intel,1649.0
Asus,Gaming,8,Windows 10,2.45,1920,1080,No,AMD,3.0,HDD,1024,AMD,699.0
Acer,Notebook,8,Windows 10,2.2,1920,1080,No,Intel,1.8,HDD,1024,Nvidia,689.0
HP,Notebook,16,Windows 10,1.49,1920,1080,No,Intel,1.8,SSD,512,Intel,1197.0
Dell,Gaming,8,Windows 10,2.65,1920,1080,No,Intel,2.5,SSD,256,Nvidia,1195.0
Asus,Ultrabook,8,Windows 10,1.25,1920,1080,No,Intel,2.7,SSD,256,Intel,1049.0
Acer,2 in 1 Convertible,8,Windows 10,1.5,1920,1080,Yes,Intel,1.6,SSD,256,Intel,847.0
Dell,Notebook,8,Linux,2.2,1920,1080,No,Intel,2.7,HDD,1024,AMD,599.9
Dell,Notebook,4,Linux,2.2,1920,1080,No,Intel,2.0,SSD,256,AMD,485.0
Asus,Notebook,6,Windows 10,2.0,1920,1080,No,Intel,2.4,SSD,256,Nvidia,577.0
HP,Gaming,12,Windows 10,2.62,1920,1080,No,Intel,2.8,"SSD, HDD",1152,Nvidia,1249.0
HP,Notebook,8,Windows 10,1.91,1920,1080,No,Intel,2.7,SSD,256,AMD,719.0
HP,Notebook,4,Windows 10,2.1,1920,1080,No,AMD,1.5,HDD,500,AMD,349.0
Dell,Notebook,8,Linux,2.2,1920,1080,No,Intel,1.6,HDD,1024,AMD,647.0
HP,Ultrabook,8,Windows 10,1.38,1920,1080,No,Intel,2.7,SSD,256,Nvidia,1119.0
Microsoft,Ultrabook,8,Windows 10 S,1.252,2256,1504,Yes,Intel,2.5,SSD,256,Intel,1340.0
HP,Notebook,6,Windows 10,1.58,1920,1080,No,Intel,2.5,SSD,256,Nvidia,659.0
Lenovo,Notebook,4,Windows 10,1.85,1920,1080,No,Intel,2.0,HDD,1024,Intel,414.9
Asus,Ultrabook,8,Windows 10,1.3,1920,1080,No,Intel,2.7,SSD,256,Nvidia,1193.0
MSI,Gaming,16,Windows 10,2.2,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,1299.0
Lenovo,Notebook,8,Windows 10,1.58,1920,1080,No,Intel,2.7,SSD,256,Intel,1480.0
Asus,Ultrabook,16,Windows 10,1.5,1920,1080,No,Intel,1.8,"SSD, HDD",1280,Nvidia,1262.0
Dell,Ultrabook,8,Windows 10,1.23,3200,1800,Yes,Intel,2.4,SSD,256,Intel,1379.0
Lenovo,2 in 1 Convertible,8,Windows 10,1.37,1920,1080,Yes,Intel,2.5,SSD,256,Intel,1399.0
HP,Notebook,4,Windows 10,1.63,1366,768,No,Intel,1.6,HDD,500,Intel,722.0
Dell,Ultrabook,8,Windows 10,1.21,1920,1080,No,Intel,1.6,SSD,256,Intel,1629.0
HP,2 in 1 Convertible,8,Windows 10,1.26,1920,1080,Yes,Intel,1.6,SSD,256,Intel,1398.99
HP,Notebook,8,Windows 10,1.63,1920,1080,No,Intel,1.8,SSD,512,Intel,1084.0
Dell,Notebook,8,Windows 10,2.16,1920,1080,No,Intel,1.8,"SSD, HDD",1280,Nvidia,1130.33
Asus,Notebook,4,Windows 10,2.0,1920,1080,No,Intel,2.0,HDD,1024,Nvidia,564.0
Asus,Notebook,8,Windows 10,1.7,1920,1080,No,Intel,1.8,SSD,256,Nvidia,1118.0
Acer,Notebook,6,Windows 10,2.1,1920,1080,Yes,Intel,2.4,HDD,1024,Intel,479.0
MSI,Gaming,16,Windows 10,1.8,1920,1080,No,Intel,2.8,"SSD, HDD",2304,Nvidia,2241.5
Lenovo,Notebook,8,No OS,2.2,1920,1080,No,Intel,2.5,SSD,256,Nvidia,629.0
HP,Notebook,16,Windows 10,2.5,1920,1080,No,Intel,1.8,SSD,512,Nvidia,1271.0
Acer,Notebook,4,Windows 10,2.1,1366,768,No,AMD,3.0,SSD,256,AMD,451.0
HP,Notebook,4,No OS,1.86,1366,768,No,Intel,1.6,HDD,500,Intel,259.0
HP,Notebook,8,Windows 10,1.63,1920,1080,No,Intel,1.6,HDD,1024,Intel,812.0
Asus,Notebook,4,Windows 10 S,1.65,1366,768,No,AMD,1.5,SSD,64,AMD,277.99
Dell,Notebook,16,Windows 10,2.8,1920,1080,No,Intel,1.8,"SSD, HDD",2304,AMD,1396.0
HP,Notebook,8,Windows 10,2.5,1920,1080,No,Intel,1.6,SSD,256,Intel,928.0
Dell,Notebook,8,Windows 10,2.36,1366,768,No,Intel,2.5,HDD,1024,AMD,638.99
Dell,Notebook,4,Windows 10,2.2,1920,1080,No,Intel,2.0,HDD,1024,AMD,449.0
Acer,Ultrabook,8,Windows 10,1.6,1920,1080,No,Intel,1.8,SSD,256,Intel,884.0
Acer,Notebook,4,Windows 10,2.2,1920,1080,No,Intel,2.7,SSD,256,Nvidia,572.0
HP,Notebook,8,Windows 10,2.05,1366,768,No,Intel,2.7,HDD,1024,Intel,598.0
HP,Notebook,8,Windows 10,1.63,1920,1080,No,Intel,1.8,SSD,256,Intel,988.0
Lenovo,Notebook,4,No OS,1.9,1366,768,No,Intel,1.1,HDD,1024,Intel,252.36
Asus,Gaming,8,Windows 10,3.0,1920,1080,No,Intel,2.5,"SSD, HDD",1152,Nvidia,938.0
Lenovo,Notebook,4,No OS,2.2,1920,1080,No,Intel,2.5,HDD,1024,Nvidia,499.0
HP,Notebook,4,Windows 10,1.32,1920,1080,No,Intel,2.5,SSD,256,Intel,699.0
Acer,Notebook,4,Windows 10,3.0,1920,1080,No,Intel,2.7,HDD,1024,Nvidia,655.0
Lenovo,Notebook,8,Windows 10,1.75,1920,1080,No,Intel,1.6,SSD,256,AMD,1116.02
Lenovo,Gaming,8,No OS,2.4,1920,1080,No,Intel,2.8,SSD,256,Nvidia,869.0
Toshiba,Notebook,4,Windows 10,2.1,1366,768,No,Intel,2.3,HDD,500,Intel,602.0
HP,Notebook,4,Windows 10,1.86,1366,768,No,AMD,2.5,SSD,256,AMD,369.0
Asus,Ultrabook,8,Windows 10,1.25,1920,1080,No,Intel,1.8,SSD,256,Intel,1099.0
HP,Ultrabook,8,Windows 10,0.97,3840,2160,Yes,Intel,1.2,SSD,512,Intel,2014.0
Asus,Notebook,4,Windows 10,2.0,1920,1080,No,Intel,1.1,HDD,1024,Intel,344.0
MSI,Gaming,16,Windows 10,2.9,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,2029.0
Acer,Notebook,4,Windows 10,2.1,1366,768,No,Intel,2.0,HDD,1024,Intel,447.0
Dell,Gaming,16,Windows 10,2.56,1920,1080,No,Intel,2.8,SSD,512,Nvidia,1249.26
Dell,Gaming,8,Windows 10,2.62,1920,1080,No,Intel,2.8,Hybrid,1024,Nvidia,899.0
Lenovo,Notebook,4,Windows 10,1.9,1366,768,No,Intel,2.5,SSD,128,Intel,498.0
MSI,Gaming,16,Windows 10,2.8,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,1890.0
HP,Ultrabook,4,Windows 10,1.48,1920,1080,No,Intel,2.7,SSD,256,Intel,1082.0
HP,Notebook,6,Windows 10,1.91,1920,1080,No,Intel,1.6,SSD,256,AMD,619.0
Lenovo,2 in 1 Convertible,4,Windows 10,1.74,1920,1080,Yes,Intel,2.4,SSD,256,Intel,629.0
Asus,2 in 1 Convertible,8,Windows 10,1.1,1920,1080,Yes,Intel,1.6,SSD,256,Intel,1315.0
Dell,2 in 1 Convertible,8,Windows 10,1.56,1920,1080,Yes,Intel,1.8,SSD,256,Intel,1049.0
Toshiba,Notebook,4,Windows 10,2.1,1366,768,No,Intel,2.2,HDD,500,Intel,447.0
Asus,Notebook,4,Windows 10,2.03,1366,768,No,AMD,3.0,HDD,1024,AMD,403.0
Acer,Notebook,4,Windows 10,3.0,1920,1080,No,Intel,1.6,SSD,256,Nvidia,805.0
Dell,Notebook,8,Windows 10,2.13,1920,1080,No,Intel,1.6,SSD,256,AMD,728.0
Lenovo,Gaming,16,Windows 10,2.5,1920,1080,No,Intel,2.8,SSD,256,Nvidia,1079.0
Acer,Notebook,4,Windows 10,2.1,1366,768,No,Intel,1.1,HDD,1024,Intel,348.0
MSI,Gaming,16,Windows 10,2.4,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,1799.0
Acer,Notebook,4,Windows 10,2.1,1366,768,No,Intel,1.1,HDD,1024,Intel,363.51
Dell,Gaming,8,Windows 10,2.56,1920,1080,No,Intel,2.8,"SSD, HDD",1152,Nvidia,1060.49
Acer,Notebook,8,Windows 10,3.0,1920,1080,No,Intel,1.6,SSD,256,Nvidia,854.0
HP,Notebook,4,Windows 10,1.49,1920,1080,No,Intel,1.6,HDD,500,Intel,754.0
Huawei,Ultrabook,8,Windows 10,1.05,2160,1440,No,Intel,2.5,SSD,256,Intel,1349.0
HP,Notebook,6,Windows 10,2.71,1920,1080,No,Intel,2.5,HDD,2048,AMD,699.0
Lenovo,Notebook,4,No OS,2.2,1366,768,No,AMD,2.9,HDD,500,AMD,309.0
Toshiba,Notebook,4,Windows 10,2.0,1366,768,No,Intel,2.4,HDD,500,Intel,489.0
HP,Notebook,8,Windows 10,2.5,1920,1080,No,Intel,1.6,SSD,256,Nvidia,923.0
Dell,Notebook,8,Windows 10,2.3,1366,768,No,Intel,2.4,HDD,1024,Intel,459.0
Acer,Notebook,4,Windows 10,2.1,1366,768,No,Intel,2.0,SSD,128,Intel,449.0
MSI,Gaming,32,Windows 10,4.4,1920,1080,No,Intel,2.9,"SSD, HDD",1536,Nvidia,2799.0
Lenovo,Notebook,8,Windows 10,1.9,1920,1080,No,Intel,2.5,"SSD, HDD",1152,AMD,813.0
HP,2 in 1 Convertible,8,Windows 10,1.29,3840,2160,Yes,Intel,1.6,SSD,256,Intel,1499.0
Dell,Notebook,16,Linux,2.02,1920,1080,No,Intel,1.8,"SSD, HDD",2304,AMD,1049.0
Dell,Ultrabook,8,Windows 10,1.23,1920,1080,No,Intel,1.6,SSD,256,Intel,1399.0
Lenovo,2 in 1 Convertible,16,Windows 10,1.4,3840,2160,Yes,Intel,1.8,SSD,512,Intel,1849.0
Toshiba,Notebook,8,Windows 10,2.0,1366,768,No,Intel,2.5,SSD,128,Intel,793.0
Xiaomi,Notebook,8,No OS,1.95,1920,1080,No,Intel,1.6,SSD,256,Nvidia,1199.0
Dell,Notebook,16,Windows 10,2.77,1920,1080,Yes,Intel,1.8,SSD,512,Nvidia,1549.0
Dell,Notebook,16,Windows 10,2.06,3840,2160,Yes,Intel,2.8,SSD,512,Nvidia,2397.0
Lenovo,Gaming,8,No OS,2.4,1920,1080,No,Intel,2.5,SSD,256,Nvidia,779.0
Acer,Ultrabook,8,Windows 10,1.12,1920,1080,No,Intel,1.2,SSD,256,Intel,989.0
Dell,Notebook,8,Windows 10,2.8,1920,1080,No,Intel,1.8,"SSD, HDD",1152,AMD,1085.0
Lenovo,2 in 1 Convertible,16,Windows 10,1.42,2560,1440,Yes,Intel,2.7,SSD,1024,Intel,2824.0
Vero,Notebook,4,Windows 10,1.3,1920,1080,No,Intel,1.1,Flash Storage,32,Intel,260.0
Xiaomi,Ultrabook,8,No OS,1.3,1920,1080,No,Intel,2.5,SSD,256,Nvidia,999.9
Lenovo,Notebook,8,No OS,2.8,1600,900,No,Intel,1.6,SSD,256,Nvidia,698.0
Dell,2 in 1 Convertible,8,Windows 10,1.62,1920,1080,Yes,Intel,1.8,HDD,1024,Intel,839.0
HP,Notebook,8,Windows 10,2.5,1920,1080,No,Intel,1.6,HDD,1024,Nvidia,914.0
Razer,Gaming,32,Windows 10,3.49,3840,2160,Yes,Intel,2.9,SSD,1024,Nvidia,6099.0
HP,Notebook,8,Windows 10,1.49,1920,1080,No,Intel,1.6,SSD,512,Intel,959.0
HP,Gaming,16,Windows 10,3.35,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,1379.0
HP,Notebook,8,Windows 10,2.5,1920,1080,No,Intel,1.8,SSD,256,Nvidia,1045.0
Dell,Gaming,16,Windows 10,2.65,3840,2160,No,Intel,2.8,"SSD, HDD",1536,Nvidia,1845.0
Lenovo,Notebook,4,Windows 10,2.1,1366,768,No,Intel,2.3,SSD,128,Intel,493.0
Acer,Notebook,8,Windows 10,2.23,1920,1080,No,Intel,2.7,HDD,1024,Nvidia,742.0
Lenovo,Gaming,16,Windows 10,3.2,1920,1080,No,Intel,2.8,"SSD, HDD",1536,Nvidia,1749.0
Dell,Workstation,16,Windows 10,2.8,3840,2160,No,Intel,3.0,"SSD, HDD",1280,Nvidia,3055.0
Lenovo,Gaming,16,No OS,2.4,1920,1080,No,Intel,2.8,SSD,512,Nvidia,1398.0
Dell,Notebook,6,Windows 10,2.3,1366,768,Yes,Intel,2.4,HDD,1024,Intel,439.0
Dell,Ultrabook,8,Windows 10,1.21,3840,2160,Yes,Intel,1.8,SSD,256,Intel,1949.0
Dell,Ultrabook,8,Windows 10,1.2,1920,1080,No,Intel,1.8,SSD,256,Intel,1449.0
Lenovo,Notebook,8,Windows 10,2.2,1366,768,No,Intel,2.5,SSD,256,Intel,597.0
Acer,Notebook,8,Linux,2.4,1920,1080,No,Intel,2.8,HDD,1024,Nvidia,779.0
Asus,Gaming,16,Windows 10,2.9,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,1407.0
HP,Notebook,4,No OS,2.1,1920,1080,No,Intel,2.0,HDD,500,Intel,349.0
Lenovo,Notebook,8,No OS,2.2,1920,1080,No,Intel,2.5,SSD,256,Intel,549.0
Huawei,Ultrabook,8,Windows 10,1.05,2160,1440,No,Intel,2.7,SSD,512,Intel,1499.0
Dell,Ultrabook,8,Windows 10,1.4,1920,1080,No,Intel,1.8,SSD,256,AMD,931.88
Lenovo,Notebook,8,No OS,2.8,1600,900,No,Intel,2.5,HDD,1024,Nvidia,589.0
HP,Notebook,8,Windows 10,1.63,1920,1080,No,Intel,1.8,SSD,256,Nvidia,1031.0
Dell,Ultrabook,8,Windows 10,1.6,1920,1080,No,Intel,1.6,SSD,256,Intel,1149.0
Dell,2 in 1 Convertible,16,Windows 10,1.62,1920,1080,Yes,Intel,1.8,SSD,512,Intel,1279.0
Dell,Notebook,8,Linux,2.2,1920,1080,No,Intel,1.6,SSD,256,AMD,677.35
Lenovo,2 in 1 Convertible,8,Windows 10,1.74,1920,1080,No,Intel,1.6,SSD,256,Intel,899.0
Toshiba,Ultrabook,8,Windows 10,1.2,1920,1080,No,Intel,2.5,SSD,256,Intel,1363.0
HP,Notebook,8,Windows 10,2.1,1920,1080,No,Intel,1.6,HDD,1024,Intel,794.0
Dell,Gaming,16,Windows 10,4.42,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,2456.34
Acer,Notebook,8,Windows 10,2.2,1920,1080,No,Intel,2.7,SSD,256,Nvidia,832.0
Dell,Notebook,16,Windows 10,2.3,1920,1080,Yes,Intel,2.7,HDD,1024,AMD,859.01
Asus,Notebook,8,Windows 10,2.0,1920,1080,No,Intel,2.5,SSD,256,Nvidia,769.0
Asus,Notebook,8,Windows 10,2.69,1920,1080,No,Intel,2.5,"SSD, HDD",756,Nvidia,891.0
HP,Notebook,8,Windows 10,1.9,1920,1080,No,Intel,2.7,HDD,1024,AMD,1269.0
Asus,Notebook,4,Windows 10,2.37,1366,768,No,Intel,2.4,HDD,1024,Intel,398.99
HP,Notebook,4,Windows 10,2.1,1366,768,No,AMD,1.5,HDD,500,AMD,330.0
Lenovo,Gaming,16,Windows 10,3.2,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,1499.0
Dell,Notebook,8,Windows 10,1.6,1920,1080,No,Intel,2.5,SSD,256,Intel,859.0
Acer,2 in 1 Convertible,8,Windows 10,1.6,1920,1080,Yes,Intel,2.3,SSD,256,Intel,689.0
Dell,Notebook,16,Linux,2.36,1920,1080,No,Intel,2.7,SSD,256,AMD,899.0
Acer,Notebook,4,Linux,2.1,1366,768,No,Intel,2.0,HDD,1024,Intel,390.0
Asus,Notebook,4,Windows 10,2.2,1920,1080,No,AMD,2.5,"SSD, HDD",1152,AMD,575.0
Asus,Gaming,32,Windows 10,4.7,1920,1080,No,Intel,2.9,"SSD, HDD",1536,Nvidia,3890.0
Acer,Gaming,8,Windows 10,2.5,1920,1080,No,Intel,2.5,SSD,256,Nvidia,846.0
Lenovo,Notebook,8,Windows 10,2.2,1366,768,No,Intel,2.0,SSD,128,Intel,589.0
Asus,Notebook,8,Windows 10,2.1,1920,1080,No,Intel,1.8,"SSD, HDD",1152,Nvidia,1145.0
Asus,Notebook,8,No OS,2.69,1920,1080,No,Intel,2.7,"SSD, HDD",1152,Nvidia,889.0
Dell,Gaming,8,Windows 10,2.56,1920,1080,No,Intel,2.5,SSD,256,Nvidia,879.0
Lenovo,2 in 1 Convertible,8,Windows 10,1.38,1920,1080,Yes,Intel,2.7,SSD,256,Intel,1079.0
Dell,Notebook,8,Windows 10,2.2,1920,1080,No,Intel,1.8,"SSD, HDD",2176,AMD,985.0
HP,Notebook,8,Windows 10,2.04,1366,768,Yes,Intel,2.5,HDD,1024,Intel,559.0
Asus,Gaming,16,Windows 10,3.6,1920,1080,No,Intel,2.9,SSD,256,Nvidia,2999.0
HP,Notebook,4,Windows 10,1.49,1920,1080,No,Intel,1.6,HDD,500,Intel,675.0
Apple,Ultrabook,8,macOS,1.37,2560,1600,No,Intel,3.1,SSD,512,Intel,2040.0
Dell,2 in 1 Convertible,8,Windows 10,2.08,1920,1080,Yes,Intel,1.8,HDD,1024,Intel,819.0
Asus,Gaming,16,Windows 10,4.3,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,1799.0
Asus,Notebook,4,Windows 10,1.68,1366,768,No,AMD,3.0,HDD,1024,AMD,469.0
Lenovo,2 in 1 Convertible,8,Windows 10,1.37,1920,1080,Yes,Intel,1.8,SSD,512,Intel,1849.0
Acer,Notebook,4,Windows 10,3.0,1920,1080,No,Intel,2.7,SSD,256,Nvidia,702.0
